단원명;영단어;뜻;예문;해석
Lesson 1 Where Are You From?;afternoon;오후;Good afternoon, everyone.;여러분, 좋은 오후예요.
Lesson 1 Where Are You From?;and;그리고;I like spring and fall.;나는 봄과 가을을 좋아해.
Lesson 1 Where Are You From?;evening;저녁;Good evening, Mr. Kim.;김 선생님, 좋은 저녁이에요.
Lesson 1 Where Are You From?;from;~에서 온;I am from Busan, but I live in Seoul now.;나는 부산에서 왔지만 지금은 서울에 살아.
Lesson 1 Where Are You From?;funny;재미있는;The story is funny, so we laugh a lot.;그 이야기가 재미있어서 우리는 많이 웃어.
Lesson 1 Where Are You From?;morning;아침;I read the news every morning.;나는 매일 아침 뉴스를 읽어.
Lesson 1 Where Are You From?;old;늙은/오래된;This temple is very old.;이 사찰은 아주 오래됐어.
Lesson 1 Where Are You From?;traditional;전통적인;We wear traditional clothes on holidays.;우리는 명절에 전통 의상을 입어.
Lesson 1 Where Are You From?;year;해/년;This year, I will travel with my family.;올해 나는 가족과 여행할 거야.
Lesson 2 What Do You Do On Weekends?;but;하지만;I want to play, but I have homework.;놀고 싶지만 숙제가 있어.
Lesson 2 What Do You Do On Weekends?;class;수업;Our science class starts at ten.;우리 과학 수업은 10시에 시작해.
Lesson 2 What Do You Do On Weekends?;club;동아리;I joined the art club last week.;나는 지난주에 미술 동아리에 가입했어.
Lesson 2 What Do You Do On Weekends?;cow;소;We feed a cow at my uncle’s farm.;우리는 삼촌 농장에서 소에게 먹이를 줘.
Lesson 2 What Do You Do On Weekends?;feed;먹이를 주다;I feed the birds every weekend.;나는 주말마다 새들에게 먹이를 줘.
Lesson 2 What Do You Do On Weekends?;grow;키우다/자라다;We grow tomatoes in the garden.;우리는 정원에서 토마토를 키워.
Lesson 2 What Do You Do On Weekends?;kite;연;Let’s fly a kite in the park.;공원에서 연을 날리자.
Lesson 2 What Do You Do On Weekends?;movie;영화;We watch a movie on Sundays.;우리는 일요일마다 영화를 봐.
Lesson 2 What Do You Do On Weekends?;park;공원;There is a big park near my house.;우리 집 근처에 큰 공원이 있어.
Lesson 2 What Do You Do On Weekends?;practice;연습;I have soccer practice after school.;나는 방과 후에 축구 연습이 있어.
Lesson 2 What Do You Do On Weekends?;usually;보통;I usually read books at night.;나는 보통 밤에 책을 읽어.
Lesson 2 What Do You Do On Weekends?;Saturday;토요일;On Saturday, I visit my grandma.;토요일에는 나는 할머니를 찾아가.
