단원명;영단어;뜻;예문;해석
Lesson 1 My Name Is Amy;afternoon;오후;Good afternoon!;좋은 오후예요!
Lesson 1 My Name Is Amy;bag;가방;This is my bag.;이것은 내 가방이에요.
Lesson 1 My Name Is Amy;evening;저녁;Good evening!;좋은 저녁이에요!
Lesson 1 My Name Is Amy;everyone;모두;Hello, everyone.;안녕하세요, 여러분.
Lesson 1 My Name Is Amy;friend;친구;He is my friend.;그는 내 친구예요.
Lesson 1 My Name Is Amy;meet;만나다;Nice to meet you.;만나서 반가워요.
Lesson 1 My Name Is Amy;morning;아침;Good morning!;좋은 아침이에요!
Lesson 1 My Name Is Amy;name;이름;What’s your name?;네 이름은 뭐니?
Lesson 1 My Name Is Amy;new;새로운;This is a new book.;이것은 새 책이에요.
Lesson 1 My Name Is Amy;night;밤;Good night!;잘 자요!
Lesson 1 My Name Is Amy;to;~에게;Give it to me.;그걸 나에게 줘.
Lesson 1 My Name Is Amy;we;우리;We are friends.;우리는 친구예요.
Lesson 2 I’m Happy;again;다시;Try again.;다시 해봐.
Lesson 2 I’m Happy;angry;화난;He is angry.;그는 화났어요.
Lesson 2 I’m Happy;happy;행복한;I am happy.;나는 행복해요.
Lesson 2 I’m Happy;sad;슬픈;She is sad.;그녀는 슬퍼요.
Lesson 2 I’m Happy;sleepy;졸린;I am sleepy.;나는 졸려요.
Lesson 2 I’m Happy;some;조금;I want some water.;물 조금을 원해요.
Lesson 2 I’m Happy;thirsty;목마른;I am thirsty.;나는 목말라요.
Lesson 2 I’m Happy;tired;피곤한;I am tired.;나는 피곤해요.
Lesson 2 I’m Happy;try;시도하다;Try this game.;이 게임을 해봐.
Lesson 2 I’m Happy;water;물;Drink water.;물을 마셔라.
Lesson 3 Don’t Sit Here;careful;조심하는;Be careful!;조심해!
Lesson 3 Don’t Sit Here;drink;마시다;Drink your milk.;우유를 마셔라.
Lesson 3 Don’t Sit Here;eat;먹다;Eat your lunch.;점심을 먹어라.
Lesson 3 Don’t Sit Here;enter;들어가다;Enter the room.;방에 들어가라.
Lesson 3 Don’t Sit Here;house;집;This is my house.;이것은 내 집이에요.
Lesson 3 Don’t Sit Here;kick;차다;Don’t kick the ball.;공을 차지 마.
Lesson 3 Don’t Sit Here;line;줄;Stand in line.;줄을 서라.
Lesson 3 Don’t Sit Here;love;사랑하다;I love my family.;나는 가족을 사랑해요.
Lesson 3 Don’t Sit Here;over;~위로;Jump over the box.;상자를 뛰어넘어라.
Lesson 3 Don’t Sit Here;push;밀다;Push the door.;문을 밀어라.
Lesson 3 Don’t Sit Here;talk;이야기하다;Don’t talk here.;여기서 말하지 마.
Lesson 3 Don’t Sit Here;welcome;환영하다;Welcome to my home.;내 집에 온 걸 환영해.
Lesson 4 Let’s Play Basketball;bad;나쁜;That is a bad idea.;그건 나쁜 생각이야.
Lesson 4 Let’s Play Basketball;badminton;배드민턴;Let’s play badminton.;배드민턴 하자.
Lesson 4 Let’s Play Basketball;baseball;야구;We play baseball.;우리는 야구를 해요.
Lesson 4 Let’s Play Basketball;basketball;농구;He likes basketball.;그는 농구를 좋아해요.
Lesson 4 Let’s Play Basketball;busy;바쁜;She is busy.;그녀는 바빠요.
Lesson 4 Let’s Play Basketball;let;~하게 하다;Let’s go!;가자!
Lesson 4 Let’s Play Basketball;pass;건네주다;Pass me the ball.;공을 나에게 줘.
